Kategorie: Alle Kategorien

Woche,Python: (Deutschland),Java: (Deutschland),JavaScript: (Deutschland)
2020-11-01,56,40,29
2020-11-08,67,46,33
2020-11-15,68,48,33
2020-11-22,62,45,29
2020-11-29,64,47,31
2020-12-06,62,45,30
2020-12-13,58,41,29
2020-12-20,42,26,22
2020-12-27,36,22,20
2021-01-03,52,35,28
2021-01-10,56,41,30
2021-01-17,56,43,31
2021-01-24,60,45,32
2021-01-31,60,44,31
2021-02-07,57,46,31
2021-02-14,56,41,33
2021-02-21,57,40,31
2021-02-28,54,38,31
2021-03-07,56,38,30
2021-03-14,58,39,34
2021-03-21,56,38,29
2021-03-28,54,30,27
2021-04-04,51,32,26
2021-04-11,58,37,31
2021-04-18,60,40,28
2021-04-25,62,41,28
2021-05-02,62,38,29
2021-05-09,55,32,25
2021-05-16,58,37,29
2021-05-23,54,33,25
2021-05-30,54,33,24
2021-06-06,60,36,28
2021-06-13,55,37,28
2021-06-20,56,36,29
2021-06-27,55,35,27
2021-07-04,55,34,28
2021-07-11,57,35,28
2021-07-18,56,34,28
2021-07-25,54,28,27
2021-08-01,54,29,28
2021-08-08,53,29,26
2021-08-15,52,29,26
2021-08-22,52,31,26
2021-08-29,54,33,27
2021-09-05,57,35,29
2021-09-12,60,35,29
2021-09-19,58,34,30
2021-09-26,56,34,29
2021-10-03,63,38,30
2021-10-10,64,40,33
2021-10-17,66,42,31
2021-10-24,68,46,31
2021-10-31,67,41,29
2021-11-07,76,48,32
2021-11-14,75,47,30
2021-11-21,73,45,32
2021-11-28,70,45,31
2021-12-05,73,49,33
2021-12-12,75,65,32
2021-12-19,61,37,27
2021-12-26,42,27,23
2022-01-02,72,44,35
2022-01-09,86,52,44
2022-01-16,84,54,45
2022-01-23,94,52,49
2022-01-30,92,53,45
2022-02-06,95,51,52
2022-02-13,98,49,52
2022-02-20,92,47,48
2022-02-27,95,46,47
2022-03-06,88,44,49
2022-03-13,95,49,48
2022-03-20,93,48,49
2022-03-27,92,48,50
2022-04-03,94,48,50
2022-04-10,87,41,44
2022-04-17,84,44,46
2022-04-24,94,50,43
2022-05-01,100,53,48
2022-05-08,99,55,46
2022-05-15,87,49,44
2022-05-22,78,43,40
2022-05-29,80,48,43
2022-06-05,78,42,42
2022-06-12,77,44,42
2022-06-19,85,45,40
2022-06-26,83,42,43
2022-07-03,82,44,42
2022-07-10,81,43,42
2022-07-17,81,41,40
2022-07-24,77,39,41
2022-07-31,75,38,42
2022-08-07,78,38,42
2022-08-14,72,36,41
2022-08-21,74,37,41
2022-08-28,76,36,41
2022-09-04,71,39,41
2022-09-11,73,39,39
2022-09-18,80,41,44
2022-09-25,74,39,37
2022-10-02,71,35,39
2022-10-09,83,43,43
2022-10-16,83,45,43
2022-10-23,91,48,42
2022-10-30,80,46,41
2022-11-06,95,54,45
2022-11-13,97,55,45
2022-11-20,88,50,44
2022-11-27,91,49,41
2022-12-04,91,48,42
2022-12-11,89,49,42
2022-12-18,77,38,39
2022-12-25,48,23,24
2023-01-01,70,40,37
2023-01-08,87,50,44
2023-01-15,89,49,44
2023-01-22,91,48,45
2023-01-29,84,45,44
2023-02-05,84,45,45
2023-02-12,82,41,43
2023-02-19,82,40,44
2023-02-26,78,40,42
2023-03-05,78,39,42
2023-03-12,82,40,42
2023-03-19,76,38,41
2023-03-26,77,38,40
2023-04-02,71,33,39
2023-04-09,69,31,36
2023-04-16,78,40,41
2023-04-23,80,39,40
2023-04-30,74,36,35
2023-05-07,79,41,37
2023-05-14,70,32,32
2023-05-21,77,40,37
2023-05-28,66,30,31
2023-06-04,70,33,32
2023-06-11,70,37,37
2023-06-18,73,38,37
2023-06-25,71,35,37
2023-07-02,71,34,35
2023-07-09,78,38,42
2023-07-16,77,35,38
2023-07-23,75,33,37
2023-07-30,73,33,38
2023-08-06,73,33,35
2023-08-13,68,29,33
2023-08-20,71,34,35
2023-08-27,74,31,36
2023-09-03,72,36,37
2023-09-10,72,35,36
2023-09-17,74,37,37
2023-09-24,73,38,38
2023-10-01,61,29,29
2023-10-08,79,38,37
2023-10-15,85,43,37
2023-10-22,83,42,38
2023-10-29,73,37,33
2023-11-05,87,46,39
2023-11-12,87,44,38
2023-11-19,81,42,36
2023-11-26,84,42,34
2023-12-03,84,42,38
2023-12-10,75,38,34
2023-12-17,69,34,31
2023-12-24,41,18,20
2023-12-31,60,26,26
2024-01-07,78,41,36
2024-01-14,83,45,37
2024-01-21,82,43,37
2024-01-28,89,47,40
2024-02-04,90,45,42
2024-02-11,88,47,39
2024-02-18,91,44,41
2024-02-25,84,42,39
2024-03-03,83,43,38
2024-03-10,86,41,38
2024-03-17,80,43,38
2024-03-24,74,34,32
2024-03-31,72,32,31
2024-04-07,83,41,36
2024-04-14,87,44,39
2024-04-21,91,44,39
2024-04-28,77,37,31
2024-05-05,72,33,29
2024-05-12,87,41,33
2024-05-19,75,37,32
2024-05-26,73,36,30
